Year,Median Current Dollars,Median 2018 Dollars,Mean Current Dollars,Mean 2018 Dollars
2018,54898,54898,79148,79148
2017,52317,53592,76629,78497
2016,51054,53423,73620,77036
2015,48626,51539,69252,73400
2014,46917,49813,66553,70661
2013,45936.5,49598,65178,70373
2012,45107,49424,64251,70400
2011,44185,49439,62986,70476
2010 (37),42744,49334,60520,69851
2009 (36),42010,49287,60558,71048
2008,42103,49224,60900,71201
2007,41603,50508,59895,72716
2006,40717,50834,58971,73624
2005,39368,50743,56423,72726
2004 (35),37620,50133,53764,71647
2003,36661,50175,52744,72186
2002,35196,49264,50362,70492
2001,34517,49075,50991,72497
2000 (30),34568,50547,50034,73162
1999 (29),32412,49002,46780,70725
1998,31483,48611,45323,69981
1997,30204,47268,42848,67055
1996,28383,45378,40210,64287
1995 (25),28423,46653,39109,64192
1994 (24),27145,45628,37707,63382
1993 (23),26193,44947,36168,62065
1992 (22),26059,45845,34062,59924
1991,25960,46806,33728,60812
1990,25878,48356,33717,63004
1989,25226,49462,32534,63791
1988,23872,48854,29822,61030
1987 (21),23111,49005,29145,61799
1986,22310,48934,27805,60986
1985 (20),21190,47291,26146,58351
1984 (19),20291,46839,24881,57434
1983,19409,46667,23217,55823
1982,18913,47417,22778,57107
1981,17626,46859,21320,56680
1980,16714,48630,19890,57870
1979 (18),15585,50423,18734,60611
1978,14239,50437,16705,59172
1977,13148,49766,15501,58672
1976 (17),12436,50042,14394,57921
1975 (16),11568,49227,13592,57840
1974 (16) (15),11000,50658,12690,58440
1973,10243,51889,11858,60070
1972 (14),9489,51078,11047,59464
1971 (13),8752,48523,10119,56102
1970,8352,48334,9628,55719
1969,8104,49210,9310,56533
1968,7451,47262,8525,54075
1967 (12),7006,46182,7943,52359
1966 (11),6639,45131,(NA),(NA)
1965 (10),6060,42363,(NA),(NA)
1964,5854,41551,(NA),(NA)
1963,5614,40390,(NA),(NA)
1962 (9),5429,39599,(NA),(NA)
1961 (8),5254,38704,(NA),(NA)
1960,5192,38632,(NA),(NA)
1959,4976,37630,(NA),(NA)
1958,4666,35577,(NA),(NA)
1957,4495,35217,(NA),(NA)
1956,4328,35022,(NA),(NA)
1955,4069,33438,(NA),(NA)
1954,3814,31204,(NA),(NA)
1953,3868,31928,(NA),(NA)
1952 (7),3538,29401,(NA),(NA)
1951,3401,28780,(NA),(NA)
1950,3128,28561,(NA),(NA)
1949 (6),2840,26256,(NA),(NA)
1948,2900,26480,(NA),(NA)
1947 (5),2738,27000,(NA),(NA)
