Year,Median Current Dollars,Median 2018 Dollars,Mean Current Dollars,Mean 2018 Dollars
2018,104993,104993,133892,133892
2017,101863,104346,130362,133540
2016,97324,101840,124493,130270
2015,95837,101578,119871,127052
2014,91362,97002,114763,121847
2013,88964.5,96055.5,111937.5,120860
2012,85692,93893,107006,117247
2011,84109,94110,104984,117468
2010 (37),83488,96360,101010,116584
2009 (36),81222,95292,100012,117336
2008,81159,94886,99169,115943
2007,80710,97986,97932,118894
2006,76920,96033,95905,119736
2005,72687,93690,90446,116580
2004 (35),71288,94999,87947,117199
2003,69662,95341,84651,115855
2002,67345,94263,83519,116901
2001,66151,94051,81715,116179
2000 (30),63784,93267,79619,116422
1999 (29),60773,91880,74728,112978
1998,58397,90168,70834,109371
1997,55443,86766,67861,106200
1996,53361,85313,64796,103595
1995 (25),50989,83692,61435,100837
1994 (24),48970,82314,59358,99775
1993 (23),47424,81380,57361,98432
1992 (22),45563,80158,55857,98268
1991,43623,78653,50317,90723
1990,42146,78755,48919,91411
1989,40658,79721,47674,93477
1988,38702,79203,44450,90966
1987 (21),36799,78029,41943,88936
1986,35108,77004,39932,87585
1985 (20),33411,74565,38029,84871
1984 (19),31707,73191,35650,82293
1983,29808,71671,33069,79512
1982,28073,70382,31309,78495
1981,26860,71408,29330,77974
1980,24657,71740,26972,78476
1979 (18),22630,73216,24847,80389
1978,20468,72501,22563,79921
1977,18704,70796,20541,77749
1976 (17),17341,69779,18909,76089
1975 (16),16058,68334,17434,74190
1974 (16) (15),14866,68461,16328,75194
1973,13798,69897,15069,76336
1972 (14),12735,68550,13918,74918
1971 (13),11741,65095,12844,71210
1970,11190,64758,12254,70916
1969,10583,64263,11481,69715
1968,9747,61826,10560,66983
1967 (12),8971,59135,9904,65285
1966 (11),8539,58046,(NA),(NA)
1965 (10),7983,55806,(NA),(NA)
1964,7549,53582,(NA),(NA)
1963,7202,51815,(NA),(NA)
1962 (9),6910,50401,(NA),(NA)
1961 (8),6689,49275,(NA),(NA)
1960,6438,47903,(NA),(NA)
1959,6269,47409,(NA),(NA)
1958,5879,44826,(NA),(NA)
1957,5776,45253,(NA),(NA)
1956,5576,45120,(NA),(NA)
1955,5250,43143,(NA),(NA)
1954,5000,40907,(NA),(NA)
1953,5060,41768,(NA),(NA)
1952 (7),4723,39249,(NA),(NA)
1951,4459,37733,(NA),(NA)
1950,3913,35729,(NA),(NA)
1949 (6),3704,34243,(NA),(NA)
1948,3774,34460,(NA),(NA)
1947 (5),3750,36980,(NA),(NA)
